"filename", "language", "JSON with Comments", "JSON", "CSS", "JavaScript", "Markdown", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\Vito\portfolio\portfolio\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Vito\portfolio\portfolio\README.md", "Markdown", 0, 0, 0, 0, 30, 0, 0, 0, 17, 47
"c:\Vito\portfolio\portfolio\components\blogPreview.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 0, 7, 66
"c:\Vito\portfolio\portfolio\components\blogReadPage.js", "JavaScript", 0, 0, 0, 122, 0, 0, 0, 0, 20, 142
"c:\Vito\portfolio\portfolio\components\comment.js", "JavaScript", 0, 0, 0, 74, 0, 0, 0, 0, 13, 87
"c:\Vito\portfolio\portfolio\components\commentForm.js", "JavaScript", 0, 0, 0, 108, 0, 0, 0, 0, 15, 123
"c:\Vito\portfolio\portfolio\components\comments.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Vito\portfolio\portfolio\components\loadingPage.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Vito\portfolio\portfolio\components\navbar.js", "JavaScript", 0, 0, 0, 143, 0, 0, 0, 7, 18, 168
"c:\Vito\portfolio\portfolio\components\oneMin.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 5, 39
"c:\Vito\portfolio\portfolio\components\project.js", "JavaScript", 0, 0, 0, 88, 0, 0, 0, 7, 16, 111
"c:\Vito\portfolio\portfolio\components\ratesSection.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 0, 7, 61
"c:\Vito\portfolio\portfolio\components\reply.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 9, 51
"c:\Vito\portfolio\portfolio\components\replyForm.js", "JavaScript", 0, 0, 0, 124, 0, 0, 0, 0, 13, 137
"c:\Vito\portfolio\portfolio\components\typingAnimation.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 15, 16, 93
"c:\Vito\portfolio\portfolio\elements\blogDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
"c:\Vito\portfolio\portfolio\elements\button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 5, 23
"c:\Vito\portfolio\portfolio\elements\rate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 4, 20
"c:\Vito\portfolio\portfolio\elements\textButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 4, 18
"c:\Vito\portfolio\portfolio\hooks\useLocalStorgeLikedBlog.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 11, 17, 68
"c:\Vito\portfolio\portfolio\modules\Context.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 6, 52
"c:\Vito\portfolio\portfolio\modules\contextToggle.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 9, 32
"c:\Vito\portfolio\portfolio\modules\globalStyles.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Vito\portfolio\portfolio\modules\head.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Vito\portfolio\portfolio\modules\theme.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 2, 36
"c:\Vito\portfolio\portfolio\next.config.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 1, 2, 7
"c:\Vito\portfolio\portfolio\package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Vito\portfolio\portfolio\pages\404.js", "JavaScript", 0, 0, 0, 73, 0, 0, 0, 5, 15, 93
"c:\Vito\portfolio\portfolio\pages\_app.js", "JavaScript", 0, 0, 0, 67, 0, 0, 0, 0, 13, 80
"c:\Vito\portfolio\portfolio\pages\about.js", "JavaScript", 0, 0, 0, 227, 0, 0, 0, 4, 16, 247
"c:\Vito\portfolio\portfolio\pages\admin.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Vito\portfolio\portfolio\pages\api\aboutPage.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Vito\portfolio\portfolio\pages\api\addBlog.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 0, 6, 51
"c:\Vito\portfolio\portfolio\pages\api\addhello.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 0, 6, 68
"c:\Vito\portfolio\portfolio\pages\api\blogs.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Vito\portfolio\portfolio\pages\api\projectsPage.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Vito\portfolio\portfolio\pages\api\updateBlog.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Vito\portfolio\portfolio\pages\api\updateCommentsBlog.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Vito\portfolio\portfolio\pages\api\updateRepliesBlog.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Vito\portfolio\portfolio\pages\blog\[blogPage].js", "JavaScript", 0, 0, 0, 56, 0, 0, 0, 0, 11, 67
"c:\Vito\portfolio\portfolio\pages\blog\index.js", "JavaScript", 0, 0, 0, 183, 0, 0, 0, 1, 16, 200
"c:\Vito\portfolio\portfolio\pages\contact.js", "JavaScript", 0, 0, 0, 157, 0, 0, 0, 4, 15, 176
"c:\Vito\portfolio\portfolio\pages\error.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Vito\portfolio\portfolio\pages\index.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 5, 42
"c:\Vito\portfolio\portfolio\pages\projects.js", "JavaScript", 0, 0, 0, 84, 0, 0, 0, 0, 10, 94
"c:\Vito\portfolio\portfolio\public\V-icon.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Vito\portfolio\portfolio\public\about_landing_image.svg", "XML", 0, 0, 0, 0, 0, 91, 0, 0, 1, 92
"c:\Vito\portfolio\portfolio\public\contact_landing_image.svg", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 1, 37
"c:\Vito\portfolio\portfolio\public\contact_landing_image_light.svg", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 1, 37
"c:\Vito\portfolio\portfolio\public\home_landing_image.svg", "XML", 0, 0, 0, 0, 0, 132, 0, 0, 1, 133
"c:\Vito\portfolio\portfolio\public\home_landing_page.svg", "XML", 0, 0, 0, 0, 0, 132, 0, 0, 1, 133
"c:\Vito\portfolio\portfolio\public\icon\dark.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Vito\portfolio\portfolio\public\icon\deploy.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Vito\portfolio\portfolio\public\icon\figma.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Vito\portfolio\portfolio\public\icon\github.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
